header_stamp,x,y,cov_x,cov_y
1780280465.042900085,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.043900013,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.043900013,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.044899940,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.044899940,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.046000004,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.046000004,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.046999931,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.046999931,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.048000097,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.048000097,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.049000025,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.049000025,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.049999952,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.049999952,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.050899982,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.050899982,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.051899910,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.051899910,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.052900076,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.052900076,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.053900003,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.053900003,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.055000067,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.055000067,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.055999994,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.055999994,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.056999922,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.058000088,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.058000088,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.058000088,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.058900118,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.058900118,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.059900045,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.059900045,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.060899973,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.060899973,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.061899900,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.061899900,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.062999964,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.062999964,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.063999891,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.063999891,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.065000057,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.065000057,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.065999985,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.065999985,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.066900015,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.066900015,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.067899942,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.067899942,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.068900108,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.068900108,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.069900036,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.069900036,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.071000099,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.071000099,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.072000027,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.072000027,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.072999954,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.072999954,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.073999882,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.073999882,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.075000048,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.075000048,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.075900078,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.075900078,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.076900005,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.076900005,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.077899933,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.077899933,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.078900099,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.078900099,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.079999924,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.079999924,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.081000090,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.081000090,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.082000017,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.082000017,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.082999945,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.082999945,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.083899975,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.083899975,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.084899902,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.084899902,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.085900068,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.085900068,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.086899996,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.086899996,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.088000059,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.088000059,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.088999987,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.088999987,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.089999914,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.089999914,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.091000080,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.091000080,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.091900110,-89.89119949034253,-44.630289062876905,0.005,0.005
