t_ekf,yaw_rtk,yaw_ekf,diff_deg
1780294782.118536,-2.4260076602721177,-2.5778241184148447,8.69844231220278
1780294782.9197226,-2.423564199319326,-2.435284315797497,0.6715132096009065
1780294782.9385934,-2.423564199319326,-2.430201651119432,0.3802979748675719
1780294782.9580133,-2.423564199319326,-2.424238883863358,0.03865657687572734
1780294782.9779925,-2.423564199319326,-2.4173922832922368,-0.35362473986137566
1780294782.9981942,-2.423564199319326,-2.410405482201183,-0.7539389546761615
1780294783.0179958,-2.423564199319326,-2.4033474075541417,-1.1583368434399117
1780294783.0382862,-2.3745204473382855,-2.3966396243643686,1.2673354898972948
1780294783.0588198,-2.3172736478728715,-2.390513709700532,4.196346434002154
1780294783.0780017,-2.2547908606514744,-2.384908490566843,7.455191034395802
1780294783.0980022,-2.192657139280476,-2.380155605531901,10.74287078138274
1780294783.1180065,-2.123367567976301,-2.3754923135528596,14.445683832346473
1780294783.9193115,-2.120051442397512,-2.0967082341125014,-1.3374673150259289
1780294783.9390368,-2.120051442397512,-2.087615820989031,-1.8584242125901462
1780294783.9664056,-2.120051442397512,-2.076369059345106,-2.5028161879766717
1780294783.980386,-2.120051442397512,-2.0693521247768474,-2.9048569238573347
1780294784.0005338,-2.120051442397512,-2.0606854274363644,-3.401422103784264
1780294784.0205722,-2.116735316818723,-2.0527357628454594,-3.6669043333877243
1780294784.0380735,-2.057917721026514,-2.0462995215544058,-0.6656737952929135
1780294784.0580106,-1.9856610899939489,-2.039365393495135,3.0770299323076045
1780294784.078009,-1.9057250102526084,-2.033390984401908,7.314721506181124
1780294784.099547,-1.815491487924502,-2.0268657836552313,12.110855042920917
1780294784.1179962,-1.7393951325375487,-2.0216056708182992,16.16947277760216
1780294784.9120312,-1.7311920850531755,-1.6688710520035293,-3.570732168640045
1780294784.930061,-1.7311920850531755,-1.6596984020359489,-4.0962862987332125
1780294784.939793,-1.7311920850531755,-1.6544517129393839,-4.396899440383694
1780294784.9598305,-1.7311920850531755,-1.6443913682738343,-4.9733147301666385
1780294784.9973526,-1.7311920850531755,-1.6270007463275817,-5.969723970794494
