bag_ts,header_stamp,x,y,vx,vy,wz
1780294756.298619032,1780294756.288993597,-209.09921764679345,-103.67844004072579,0.0,0.0,0.0
1780294756.313999414,1780294756.300576687,-209.099217499589,-103.67844033080699,0.0,0.0,0.0
1780294756.331059456,1780294756.319214106,-209.09921735193285,-103.67844062059419,0.0,0.0,0.0
1780294756.345807552,1780294756.337992430,-209.09921720392288,-103.67844091013924,0.0,0.0,0.0
1780294756.369870424,1780294756.358494520,-209.09921705563212,-103.67844119948094,0.0,0.0,0.0
1780294756.388533115,1780294756.378025055,-209.09921685747287,-103.67844158495245,0.0,0.0,0.0
1780294756.414942026,1780294756.398000479,-209.09921663403694,-103.67844201822288,0.0,0.0,0.0
1780294756.428835869,1780294756.417969227,-209.0992164350565,-103.6784424030522,0.0,0.0,0.0
1780294756.449896097,1780294756.438003540,-209.0992162108257,-103.67844283566819,0.0,0.0,0.0
1780294756.471765041,1780294756.458435535,-209.0992159862658,-103.67844326798611,0.0,0.0,0.0
1780294756.490509272,1780294756.477981567,-209.09921576143574,-103.67844370003687,0.0,0.0,0.0
1780294756.510313988,1780294756.497987270,-209.09921553638293,-103.67844413184555,0.0,0.0,0.0
1780294756.532912016,1780294756.519679308,-209.09921528610946,-103.67844461137379,0.0,0.0,0.0
1780294756.552896976,1780294756.537989616,-209.09921506071336,-103.67844504273896,0.0,0.0,0.0
1780294756.575914860,1780294756.558732748,-209.0992148352081,-103.67844547392225,0.0,0.0,0.0
1780294756.590475082,1780294756.577985048,-209.0992146096102,-103.6784459049327,0.0,0.0,0.0
1780294756.614790678,1780294756.598426342,-209.09921440901152,-103.67844628791363,0.0,0.0,0.0
1780294756.627609730,1780294756.618463993,-209.09921423344622,-103.6784466229198,0.0,0.0,0.0
1780294756.656711102,1780294756.638224125,-209.09921403274814,-103.67844700566484,0.0,0.0,0.0
1780294756.669781685,1780294756.659433842,-209.09921388219377,-103.67844729264317,0.0,0.0,0.0
1780294756.684444189,1780294756.680011272,-209.09921373161703,-103.67844757955471,0.0,0.0,0.0
1780294756.711160660,1780294756.698008060,-209.09921355592024,-103.67844791420274,0.0,0.0,0.0
1780294756.728545427,1780294756.718435764,-209.09921338020916,-103.67844824876843,0.0,0.0,0.0
1780294756.744873285,1780294756.738013029,-209.09921320449268,-103.67844858325647,0.0,0.0,0.0
1780294756.766468287,1780294756.757996321,-209.09921292834744,-103.67844910871929,0.0,0.0,0.0
1780294756.788847923,1780294756.778344393,-209.099212601968,-103.67844972946924,0.0,0.0,0.0
1780294756.809996128,1780294756.798102856,-209.09921225046114,-103.67845039766988,0.0,0.0,0.0
1780294756.834561825,1780294756.818044901,-209.0992118487261,-103.67845116095532,0.0,0.0,0.0
1780294756.862191439,1780294756.839243412,-209.0992114470039,-103.67845192385775,0.0,0.0,0.0
1780294756.876810789,1780294756.864267826,-209.0992111457342,-103.67845249579054,0.0,0.0,0.0
1780294756.888486862,1780294756.878653049,-209.09921091979967,-103.67845292460579,0.0,0.0,0.0
1780294756.909426212,1780294756.898007393,-209.09921071898438,-103.67845330567967,0.0,0.0,0.0
1780294756.933743238,1780294756.918120623,-209.09921054328643,-103.67845363904767,0.0,0.0,0.0
1780294756.949527979,1780294756.938050508,-209.09921039270063,-103.67845392473907,0.0,0.0,0.0
1780294756.993261099,1780294756.958219528,-209.0992101668434,-103.67845435318517,0.0,0.0,0.0
1780294757.024779320,1780294757.017394781,-209.09920996610123,-103.67845473393342,0.0,0.0,0.0
1780294757.041446209,1780294757.025471210,-209.09920979046927,-103.67845506701767,0.0,0.0,0.0
1780294757.050019026,1780294757.040315866,-209.09920966502756,-103.67845530489468,0.0,0.0,0.0
1780294757.067181110,1780294757.058830261,-209.09920954053922,-103.67845554323755,0.0,0.0,0.0
1780294757.089719772,1780294757.078555107,-209.09920941796452,-103.67845578255357,0.0,0.0,0.0
1780294757.113967419,1780294757.098925114,-209.0992092202893,-103.67845616455818,0.0,0.0,0.0
1780294757.159608841,1780294757.144073725,-209.0992090464831,-103.67845649828843,0.0,0.0,0.0
1780294757.173671484,1780294757.160906076,-209.09920884709996,-103.67845687920838,0.0,0.0,0.0
1780294757.197572470,1780294757.178955317,-209.09920864729492,-103.67845725980838,0.0,0.0,0.0
1780294757.215947866,1780294757.198112726,-209.0992085222892,-103.67845749756675,0.0,0.0,0.0
1780294757.233707428,1780294757.224023581,-209.0992084472531,-103.67845764018632,0.0,0.0,0.0
1780294757.244865417,1780294757.238001108,-209.09920834717545,-103.67845783030894,0.0,0.0,0.0
1780294757.271883488,1780294757.258012772,-209.09920822204506,-103.67845806791053,0.0,0.0,0.0
1780294757.295742989,1780294757.278468370,-209.09920812191916,-103.67845825795311,0.0,0.0,0.0
1780294757.313834190,1780294757.299389362,-209.09920799674208,-103.67845849546187,0.0,0.0,0.0
1780294757.328944683,1780294757.317985773,-209.09920784651047,-103.67845878041236,0.0,0.0,0.0
1780294757.351711512,1780294757.338413239,-209.099207646182,-103.67845916025117,0.0,0.0,0.0
1780294757.374055624,1780294757.358000755,-209.09920747088574,-103.67845949252603,0.0,0.0,0.0
1780294757.390969038,1780294757.377996683,-209.09920727055032,-103.67845987217964,0.0,0.0,0.0
1780294757.415861607,1780294757.398453474,-209.09920704518802,-103.67846029918229,0.0,0.0,0.0
1780294757.436746597,1780294757.420583010,-209.0992068699202,-103.6784606312182,0.0,0.0,0.0
1780294757.455150127,1780294757.440115452,-209.09916898447966,-103.67844077383864,0.0,0.0,0.0
1780294757.470539331,1780294757.458966255,-209.09906251029977,-103.67838445158134,0.0,0.0,0.0
1780294757.495474577,1780294757.478099585,-209.09889876438746,-103.67829764560655,0.0,0.0,0.0
1780294757.551173449,1780294757.541704655,-209.09871499137833,-103.67820005664358,0.0,0.0,0.0
1780294757.568223238,1780294757.558354378,-209.09851710032083,-103.67809492898964,0.0,0.0,0.0
1780294757.590253592,1780294757.577991247,-209.0982833273915,-103.67797068309615,0.0,0.0,0.0
1780294757.623443604,1780294757.597982407,-209.09804904049528,-103.67784608846989,0.0,0.0,0.0
1780294757.638320446,1780294757.626247406,-209.09787915696364,-103.67775568606754,0.0,0.0,0.0
1780294757.655238628,1780294757.641325235,-209.0977232199702,-103.67767265462032,0.0,0.0,0.0
1780294757.668669462,1780294757.658417940,-209.0975808288124,-103.67759678236027,0.0,0.0,0.0
1780294757.691850662,1780294757.678314447,-209.0974502945608,-103.67752717667683,0.0,0.0,0.0
1780294757.709171772,1780294757.698055267,-209.0973301978546,-103.6774630874284,0.0,0.0,0.0
1780294757.751789570,1780294757.718371630,-209.09720607630882,-103.67739679400474,0.0,0.0,0.0
1780294757.770637751,1780294757.756724358,-209.09709042078305,-103.67733497507808,0.0,0.0,0.0
1780294757.793093920,1780294757.776695013,-209.09699520478046,-103.67728403584023,0.0,0.0,0.0
1780294757.808321714,1780294757.796369076,-209.0969260991582,-103.67724705042231,0.0,0.0,0.0
1780294757.817288637,1780294757.809958458,-209.09689131331916,-103.67722843457688,0.0,0.0,0.0
1780294757.825906277,1780294757.818399906,-209.0968559123952,-103.67720949366681,0.0,0.0,0.0
1780294757.854688168,1780294757.838526011,-209.09679904235864,-103.67717905203642,0.0,0.0,0.0
1780294757.871629238,1780294757.858363390,-209.0967340993782,-103.67714426677874,0.0,0.0,0.0
1780294757.908920288,1780294757.885172129,-209.09668254224422,-103.67711663316058,0.0,0.0,0.0
1780294757.936404705,1780294757.920397758,-209.09662105525368,-103.67708367453855,0.0,0.0,0.0
1780294757.951709270,1780294757.940073967,-209.096560261099,-103.67705108214858,0.0,0.0,0.0
1780294757.976793766,1780294757.962746382,-209.09650658405178,-103.6770223282814,0.0,0.0,0.0
1780294757.988519430,1780294757.980109930,-209.09646358136388,-103.67699929295291,0.0,0.0,0.0
1780294758.009872437,1780294758.000589609,-209.09639198440397,-103.6769609143474,0.0,0.0,0.0
1780294758.043453455,1780294758.017985582,-209.09631539876727,-103.67691982229358,0.0,0.0,0.0
1780294758.090039253,1780294758.043706179,-209.09616580220074,-103.67684014362035,0.0,0.0,0.0
1780294758.095494747,1780294758.089135408,-209.09597948964205,-103.67674113741143,0.0,0.0,0.0
1780294758.116832256,1780294758.106277466,-209.09577714783745,-103.6766335827909,0.0,0.0,0.0
1780294758.133039713,1780294758.118383408,-209.09559964083925,-103.67653930753774,0.0,0.0,0.0
1780294758.158922195,1780294758.139075994,-209.09547521350103,-103.6764732391631,0.0,0.0,0.0
1780294758.169914961,1780294758.164841652,-209.09537758334272,-103.67642133330693,0.0,0.0,0.0
1780294758.212422609,1780294758.203651905,-209.09529882597243,-103.67637940187525,0.0,0.0,0.0
1780294758.228960276,1780294758.218089581,-209.0952338474677,-103.67634475269625,0.0,0.0,0.0
1780294758.257182598,1780294758.237995148,-209.09516702151961,-103.6763090502721,0.0,0.0,0.0
1780294758.271542311,1780294758.258875132,-209.09511278442494,-103.67628000118543,0.0,0.0,0.0
1780294758.291717529,1780294758.277984858,-209.09506789372685,-103.67625589177699,0.0,0.0,0.0
