bag_ts,header_stamp,steering_tire_angle
1780294778.454317570,1780294778.448161364,-0.029999999329447746
1780294778.464548111,1780294778.459643841,-0.029999999329447746
1780294778.484320402,1780294778.481971025,-0.029999999329447746
1780294778.505638361,1780294778.503888845,-0.029999999329447746
1780294778.526848078,1780294778.525900841,-0.029999999329447746
1780294778.550380945,1780294778.548122406,-0.029999999329447746
1780294778.563475609,1780294778.559834480,-0.029999999329447746
1780294778.583198309,1780294778.582183361,-0.029999999329447746
1780294778.605792046,1780294778.603644609,-0.029999999329447746
1780294778.627735615,1780294778.625798941,-0.029999999329447746
1780294778.648820400,1780294778.648495197,-0.029999999329447746
1780294778.662139654,1780294778.661687136,-0.029999999329447746
1780294778.684411287,1780294778.683722258,-0.029999999329447746
1780294778.706552505,1780294778.705906868,-0.029999999329447746
1780294778.729076624,1780294778.728728771,-0.029999999329447746
1780294778.741591454,1780294778.741329432,-0.029999999329447746
1780294778.764013052,1780294778.763637781,0.05000000074505806
1780294778.780187845,1780294778.778929710,0.05000000074505806
1780294778.801664829,1780294778.801226377,0.11999999731779099
1780294778.826448917,1780294778.823632240,0.11999999731779099
1780294778.846589565,1780294778.845688343,0.15000000596046448
1780294778.868228197,1780294778.867797136,0.3199999928474426
1780294778.880787849,1780294778.879727125,0.3199999928474426
1780294778.904312372,1780294778.902992725,0.3199999928474426
1780294778.925226212,1780294778.924633741,0.3700000047683716
1780294778.948428631,1780294778.946675301,0.3700000047683716
1780294778.962430000,1780294778.961035252,0.3700000047683716
1780294778.986827374,1780294778.983773947,0.41999998688697815
1780294779.006555557,1780294779.005696535,0.41999998688697815
1780294779.029898643,1780294779.027693748,0.4099999964237213
1780294779.041448593,1780294779.039901018,0.4099999964237213
1780294779.062819004,1780294779.061675549,0.4300000071525574
1780294779.085853100,1780294779.083698988,0.4000000059604645
1780294779.106538534,1780294779.105898857,0.4000000059604645
1780294779.119338751,1780294779.118822098,0.38999998569488525
1780294779.142292738,1780294779.140966177,0.4000000059604645
1780294779.166620731,1780294779.164486170,0.4000000059604645
1780294779.188145876,1780294779.186316967,0.4000000059604645
