bag_ts,header_stamp,ax,ay,az,wx,wy,wz
1780294812.306010485,1780294812.300965548,0.9996,-0.058800000000000005,9.9078,0.033335788713091695,0.030368728984701335,-0.42062434973063345
1780294812.310495377,1780294812.309669018,0.6958,0.11760000000000001,10.231200000000001,0.015184364492350668,0.02495820830351891,-0.42271874483302657
1780294812.320555449,1780294812.320013046,0.06860000000000001,0.058800000000000005,10.819200000000002,0.024434609527920613,0.0291469985083053,-0.42132248143143114
1780294812.329750061,1780294812.329514503,-0.5194,0.3234,10.936800000000002,-0.0033161255787892262,0.022863813201125717,-0.4134684997974567
1780294812.339052677,1780294812.338520765,-0.8232000000000002,0.5586000000000001,10.574200000000001,0.00034906585039886593,0.026878070480712675,-0.4103269071438669
1780294812.349877119,1780294812.349546909,-0.5782,0.8624,9.7902,-0.018500490071139894,0.02775073510670984,-0.4145156973486533
1780294812.358721733,1780294812.358507395,-0.24500000000000002,1.1270000000000002,9.2316,-0.018500490071139894,0.026179938779914945,-0.41992621802983565
1780294812.369851589,1780294812.369596481,0.2156,1.2838,9.016000000000002,-0.023212879051524585,0.02076941809873252,-0.42673300211261356
1780294812.378808260,1780294812.378491879,0.392,1.0290000000000001,8.1438,-0.02530727415391778,0.016057029118347832,-0.43650684592378186
1780294812.390394211,1780294812.389765263,0.3430000000000001,0.9408000000000001,8.6338,-0.028797932657906436,0.015184364492350668,-0.44610615680975063
1780294812.399471045,1780294812.399152040,0.06860000000000001,0.33320000000000005,9.0258,-0.027401669256310976,0.014486232791552934,-0.44872415068774213
1780294812.410987139,1780294812.410525084,-0.33320000000000005,0.029400000000000003,9.653,-0.04084070449666731,0.009599310885968814,-0.4469788214357478
1780294812.419014215,1780294812.418519497,-0.7644000000000001,-0.4116000000000001,9.9078,-0.03490658503988659,0.006806784082777886,-0.44279003123096145
1780294812.429823875,1780294812.429544926,-1.0486,-0.5488000000000001,10.721200000000001,-0.04729842272904633,-0.0006981317007977319,-0.43999750442777047
1780294812.439288378,1780294812.438523054,-1.1564,-0.8232000000000002,10.427200000000001,-0.047647488579445195,-0.004537856055185257,-0.4401720373529699
1780294812.449723721,1780294812.449523687,-1.0584,-0.7742000000000001,10.564400000000001,-0.04276056667386108,-0.012566370614359171,-0.44209189953016365
1780294812.462098360,1780294812.460212231,-0.9016000000000001,-1.1270000000000002,9.956800000000001,-0.039968039870670144,-0.02234021442552742,-0.4459316238845512
1780294812.469629049,1780294812.469482899,-0.8036000000000001,-1.2446000000000002,9.8882,-0.023736477827122883,-0.02757620218151041,-0.45308747381772796
1780294812.478816271,1780294812.478486776,-0.7742000000000001,-1.6562000000000003,9.261000000000001,-0.030543261909900768,-0.034033920413889425,-0.4558800006209189
1780294812.490054369,1780294812.489704132,-0.6272000000000001,-1.8424,9.672600000000001,-0.01884955592153876,-0.031415926535897934,-0.45186574334133195
1780294812.498694181,1780294812.498492956,-0.13720000000000002,-2.0580000000000003,9.016000000000002,-0.016406094968746697,-0.03159045946109736,-0.44261549830576197
1780294812.509619474,1780294812.509446144,0.31360000000000005,-1.9502000000000002,9.31,-0.013788101090755204,-0.03438298626428829,-0.43877577395137446
1780294812.520080566,1780294812.518442154,0.3234,-1.9306000000000003,9.849,-0.016057029118347832,-0.03508111796508602,-0.4363323129985824
1780294812.532099485,1780294812.529486895,0.15680000000000002,-1.6660000000000001,10.015600000000001,-0.005759586531581287,-0.038571776469074684,-0.43127085816779887
1780294812.542559624,1780294812.538462400,-0.07840000000000001,-1.6170000000000002,10.152800000000001,-0.0005235987755982988,-0.041015237421866746,-0.4338888520457903
1780294812.552622557,1780294812.551339149,-0.3234,-1.4994,10.4566,0.01064650843716541,-0.039968039870670144,-0.44331363000655966
1780294812.559049368,1780294812.558472633,-0.6076,-1.6758000000000002,10.2802,0.00942477796076938,-0.04363323129985824,-0.4508185457901353
