t,status
1780280691.0679,4
1780280691.0689,4
1780280691.0699,4
1780280691.071,4
1780280691.072,4
1780280691.073,4
1780280691.074,4
1780280691.075,4
1780280691.0759,4
1780280691.0769,4
1780280691.0779,4
1780280691.0789,4
1780280691.08,4
1780280691.081,4
1780280691.082,4
1780280691.083,4
1780280691.0839,4
1780280691.0849,4
1780280691.0859,4
1780280691.0869,4
1780280691.088,4
1780280691.089,4
1780280691.09,4
1780280691.091,4
1780280691.0919,4
1780280691.0929,4
1780280691.0939,4
1780280691.0949,4
1780280691.096,4
1780280691.097,4
1780280691.098,4
1780280691.099,4
1780280692.0,4
1780280692.0009,4
1780280692.0019,4
1780280692.0029,4
1780280692.0039,4
1780280692.005,4
1780280692.006,4
1780280692.007,4
1780280692.008,4
1780280692.0089,4
1780280692.0099,4
1780280692.0109,4
1780280692.0119,4
1780280692.013,4
1780280692.014,4
1780280692.015,4
1780280692.016,4
1780280692.0169,4
1780280692.0179,4
1780280692.0189,4
1780280692.0199,4
1780280692.021,4
1780280692.022,4
1780280692.023,4
1780280692.024,4
1780280692.025,4
1780280692.0259,4
1780280692.0269,4
1780280692.0279,4
1780280692.0289,4
1780280692.03,4
1780280692.031,4
1780280692.032,4
1780280692.033,4
1780280692.0339,4
1780280692.0349,4
1780280692.0359,4
1780280692.0369,4
1780280692.038,4
1780280692.039,4
1780280692.04,4
1780280692.041,4
1780280692.0419,4
1780280692.0429,4
1780280692.0439,4
1780280692.0449,4
1780280692.046,4
1780280692.047,4
1780280692.048,4
1780280692.049,4
1780280692.05,4
1780280692.0509,4
1780280692.0519,4
1780280692.0529,4
1780280692.0539,4
1780280692.055,4
1780280692.056,4
1780280692.057,4
1780280692.058,4
1780280692.0589,4
1780280692.0599,4
1780280692.0609,4
1780280692.0619,4
1780280692.063,4
1780280692.064,4
1780280692.065,4
1780280692.066,4
1780280692.0669,4
1780280692.0679,4
1780280692.0689,4
1780280692.0699,4
1780280692.071,4
1780280692.072,4
1780280692.073,4
1780280692.074,4
1780280692.075,4
1780280692.0759,4
1780280692.0769,4
1780280692.0779,4
1780280692.0789,4
1780280692.08,4
1780280692.081,4
1780280692.082,4
1780280692.083,4
1780280692.0839,4
1780280692.0849,4
1780280692.0859,4
1780280692.0869,4
1780280692.088,4
1780280692.089,4
1780280692.09,4
1780280692.091,4
1780280692.0919,4
1780280692.0929,4
1780280692.0939,4
1780280692.0949,4
1780280692.096,4
1780280692.097,4
1780280692.098,4
1780280692.099,4
1780280693.0,4
1780280693.0009,4
1780280693.0019,4
1780280693.0029,4
1780280693.0039,4
1780280693.005,4
1780280693.006,4
1780280693.007,4
1780280693.008,4
1780280693.0089,4
1780280693.0099,4
1780280693.0109,4
1780280693.0119,4
1780280693.013,4
1780280693.014,4
1780280693.015,4
1780280693.016,4
1780280693.0169,4
1780280693.0179,4
