bag_ts,header_stamp,longitudinal_velocity
1780294763.709546804,1780294763.708854198,0.0
1780294763.724206924,1780294763.722956181,0.0
1780294763.747374296,1780294763.746483564,0.0
1780294763.769810200,1780294763.769072533,0.0
1780294763.783975124,1780294763.780839205,0.0
1780294763.807324409,1780294763.806899786,0.0
1780294763.820770502,1780294763.820216656,0.0
1780294763.843818903,1780294763.841413736,0.0
1780294763.869378328,1780294763.867403507,0.0
1780294763.896947622,1780294763.890081644,0.0
1780294763.903750420,1780294763.901776791,0.0
1780294763.926181078,1780294763.923943996,0.0
1780294763.948646784,1780294763.946745872,0.0
1780294763.969815254,1780294763.968771935,0.0
1780294763.982720852,1780294763.981895447,0.0
1780294764.006329060,1780294764.004924297,0.0
1780294764.027459621,1780294764.026689053,0.0
1780294764.039354324,1780294764.038347960,0.0
1780294764.071536303,1780294764.070616245,0.0
1780294764.084876299,1780294764.083362818,0.0
1780294764.106992960,1780294764.106156588,0.0
1780294764.120841026,1780294764.120494366,0.0
1780294764.143912554,1780294764.142589808,0.0
1780294764.165913820,1780294764.164549589,0.0
1780294764.187231302,1780294764.186529398,0.0
1780294764.211685658,1780294764.211170197,0.0
1780294764.224732161,1780294764.223653078,0.0
1780294764.252687693,1780294764.250212908,0.0
1780294764.264148235,1780294764.262133837,0.0
1780294764.285267353,1780294764.283649206,0.0
1780294764.306695700,1780294764.305418491,0.0
1780294764.330418110,1780294764.328330755,0.0
1780294764.342197657,1780294764.341134071,0.0
1780294764.364184380,1780294764.363513947,0.0
1780294764.386666775,1780294764.385774136,0.0
1780294764.403320789,1780294764.402604818,0.0
1780294764.427190065,1780294764.426391125,0.0
1780294764.440214634,1780294764.439567804,0.0
1780294764.463757515,1780294764.461611748,0.0
1780294764.486073732,1780294764.484036922,0.0
1780294764.506702185,1780294764.505782843,0.0
1780294764.528688192,1780294764.527687311,0.0
1780294764.550662994,1780294764.549346209,0.0
1780294764.562627077,1780294764.561459541,0.0
1780294764.585016251,1780294764.583909512,0.0
1780294764.606397152,1780294764.605813503,0.0
1780294764.628435373,1780294764.627899408,0.0
1780294764.639730692,1780294764.639346123,0.0
1780294764.662188053,1780294764.661754608,0.0
1780294764.684356213,1780294764.683577061,0.0
1780294764.706736803,1780294764.705802441,0.0
1780294764.728162050,1780294764.727604389,0.0
1780294764.740489244,1780294764.739237070,0.0
1780294764.765463591,1780294764.763954163,0.0
1780294764.789069653,1780294764.786578417,0.0
1780294764.811874151,1780294764.808724165,0.0
1780294764.822885036,1780294764.820605040,0.0
1780294764.843541622,1780294764.842584848,0.0
1780294764.865933418,1780294764.864883900,0.0
1780294764.887060881,1780294764.886590958,0.0
1780294764.908849001,1780294764.908461809,0.0
1780294764.921106577,1780294764.920792580,0.0
1780294764.943984985,1780294764.943266153,0.0
1780294764.966576815,1780294764.965651512,0.0
1780294764.989511728,1780294764.987753391,0.0
1780294765.004659891,1780294764.999556303,0.0
1780294765.023765802,1780294765.021855116,0.0
1780294765.044613600,1780294765.043371916,0.0
1780294765.066607475,1780294765.065790653,0.0
